キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,IS17SH,AQUOS PHONE CL,SHARP,シャープ,2012/7/21,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.4GHz,-,8GB,132,4.2,NewモバイルASV液晶,960×540,"262,114",-,N,Y,Y,Y,N,Y,N,N,Y,2012/7/24,,,,,,,,,,,,
au,ISW11F,ARROWS Z,FUJITSU,富士通東芝モバイルコミュニケーションズ,2011/12/17,WIN HIGH SPEED,Texas Instruments OMAP4430 + Qualcomm MDM6600,1GB,8GB,131,4.3,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2011/12/22,,,,,,,,,,,,
au,ISW11HT,HTC EVO WiMAX,HTC,HTC NIPPON,2011/4/15,CDMA 1X WIN,Qualcomm Snapdragon QSD8650 1GHz,512MB,1GB,170,4.3,TFT液晶,800×480,"65,536",-,Y,N,Y,Y,N,N,N,N,N,2011/7/11,,,,,,,,,,,,
au,ISW11K,DIGNO,KYOCERA,京セラ,2011/11/29,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.4GHz,1GB,4GB,130,4,有機EL,800×480,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2016/12/14,,,,,,,,,,,,
au,ISW11M,MOTOROLA PHOTON,Motorola,モトローラ・モビリティ・ジャパン,2011/10/7,CDMA 1X WIN,NVIDIA Tegra 2 + Qualcomm MDM6600 1GHz,1GB,16GB,158,4.3,TFT液晶,960×540,"16,777,216",-,Y,N,Y,Y,N,N,N,N,N,2012/8/1,,,,,,,,,,,,
au,ISW11SC,GALAXY SII WiMAX,SAMSUNG,サムスン電子,2012/1/20,WIN HIGH SPEED,Samsung Exynos C210 + Qualcomm QSC6085 1.4GHz,-,-,139,4.7,有機EL,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,N,2012/2/23,,,,,,,,,,,,
au,ISW12HT,HTC EVO 3D,HTC,HTC NIPPON,2011/10/7,CDMA 1X WIN,Qualcomm Snapdragon MSM8660 1.2GHz,1GB,4GB,171,4.3,TFT液晶,960×540,"16,777,216",-,Y,N,Y,Y,N,N,N,Y,N,2015/11/2,,,,,,,,,,,,
au,ISW13F,ARROWS Z,FUJITSU,富士通,2012/7/20,WIN HIGH SPEED,NVIDIA Tegra 3 AP33　1.5GHz,-,16GB,143,4.6,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,ISW13HT,HTC J,HTC,HTC NIPPON,2012/5/25,CDMA 1X WIN,Qualcomm Snapdragon MSM8660A 1.5GHz,1GB,16GB,142,4.3,有機EL,960×540,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,N,2015/11/2,,,,,,,,,,,,
au,ISW16SH,AQUOS PHONE SERIE,SHARP,シャープ,2012/6/28,WIN HIGH SPEED,Qualcomm Snapdragon MSM8660A 1.5GHz,-,16GB,136,4.6,高透過CGSilicon液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
